Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,288.769989,289.869995,286.880005,289.239990,289.239990,3171000
2022-10-26,289.750000,291.799988,287.679993,288.519989,288.519989,3294100
2022-10-27,290.309998,294.000000,288.850006,289.880005,289.880005,4273800
2022-10-28,292.769989,299.980011,291.480011,299.630005,299.630005,4627600
2022-10-31,297.980011,298.890015,294.850006,295.089996,295.089996,4626400
2022-11-01,298.450012,298.869995,293.040009,294.130005,294.130005,3837000
2022-11-02,293.040009,298.260010,289.420013,289.459991,289.459991,4269000
2022-11-03,286.019989,287.470001,283.459991,283.850006,283.850006,3122900
2022-11-04,286.769989,289.200012,282.380005,287.470001,287.470001,3925300
2022-11-07,290.920013,292.100006,288.649994,290.190002,290.190002,3522000
2022-11-08,291.109985,294.739990,289.010010,292.609985,292.609985,3562200
2022-11-09,291.980011,292.399994,288.059998,288.649994,288.649994,2759300
2022-11-10,297.109985,303.500000,294.540009,303.200012,303.200012,5693100
2022-11-11,305.559998,311.329987,302.600006,309.720001,309.720001,6570200
2022-11-14,310.000000,311.839996,308.839996,308.910004,308.910004,4637600
2022-11-15,313.670013,313.890015,307.179993,309.980011,309.980011,4372400
2022-11-16,310.929993,311.549988,306.739990,308.760010,308.760010,2970600
2022-11-17,305.700012,307.619995,304.149994,307.440002,307.440002,3062200
2022-11-18,310.549988,311.200012,308.619995,310.760010,310.760010,3395500
2022-11-21,310.809998,312.899994,308.579987,311.200012,311.200012,2862000
2022-11-22,313.000000,316.559998,312.049988,315.760010,315.760010,3172000
2022-11-23,315.390015,316.429993,314.070007,316.179993,316.179993,2684900
2022-11-25,317.519989,319.119995,316.179993,317.429993,317.429993,1844900
2022-11-28,316.250000,317.640015,312.329987,313.269989,313.269989,4230700
2022-11-29,311.890015,315.290009,311.350006,315.130005,315.130005,3740100
2022-11-30,315.130005,318.600006,308.700012,318.600006,318.600006,7919700
2022-12-01,319.000000,319.559998,313.299988,315.839996,315.839996,4351600
2022-12-02,313.489990,316.380005,312.750000,316.149994,316.149994,3025700
2022-12-05,315.220001,315.660004,308.730011,310.570007,310.570007,3835800
2022-12-06,309.950012,310.290009,306.350006,307.779999,307.779999,3877400
2022-12-07,307.070007,309.380005,304.920013,305.820007,305.820007,4130800
2022-12-08,306.000000,307.489990,305.089996,305.989990,305.989990,2351700
2022-12-09,305.320007,308.339996,304.709991,306.390015,306.390015,3326000
2022-12-12,307.549988,311.910004,305.459991,311.450012,311.450012,4366700
2022-12-13,318.399994,318.910004,310.820007,312.329987,312.329987,5042800
2022-12-14,312.739990,316.359985,308.399994,309.290009,309.290009,4056900
2022-12-15,306.429993,306.959991,299.450012,301.910004,301.910004,5103900
2022-12-16,299.049988,302.470001,297.760010,300.000000,300.000000,8305700
2022-12-19,300.510010,301.480011,297.149994,300.029999,300.029999,3842200
2022-12-20,300.089996,304.190002,297.000000,302.000000,302.000000,3090700
2022-12-21,304.380005,308.540009,304.160004,307.820007,307.820007,3264600
2022-12-22,306.100006,306.500000,297.640015,302.690002,302.690002,3560100
2022-12-23,302.880005,306.570007,300.929993,306.489990,306.489990,2460400
2022-12-27,306.450012,308.579987,304.649994,305.549988,305.549988,2730900
2022-12-28,304.769989,307.459991,303.260010,303.429993,303.429993,2628200
2022-12-29,305.940002,309.380005,305.239990,309.059998,309.059998,2846200
2022-12-30,306.950012,309.040009,305.619995,308.899994,308.899994,3298300
2023-01-03,310.070007,312.390015,307.380005,309.910004,309.910004,3549900
2023-01-04,312.000000,316.890015,311.250000,314.549988,314.549988,5121200
2023-01-05,313.570007,314.230011,310.000000,312.899994,312.899994,3416300
2023-01-06,315.000000,320.160004,313.380005,318.690002,318.690002,3647900
2023-01-09,319.019989,320.500000,314.750000,315.529999,315.529999,4397400
2023-01-10,315.000000,316.799988,313.339996,316.350006,316.350006,3049100
2023-01-11,318.519989,320.570007,316.600006,320.369995,320.369995,2999500
2023-01-12,321.149994,321.320007,317.720001,318.929993,318.929993,3070300
2023-01-13,317.489990,318.420013,315.790009,317.640015,317.640015,2773000
2023-01-17,318.399994,318.519989,314.250000,314.859985,314.859985,3478900
